propositions,clauses,result,DPLL calls,L/N ratio,solve time
40,176,True,65451,4.4,12.167400121688843
42,184,False,541947,4.4,151.03296780586243
10,46,False,44,4.6,0.015018939971923828
12,55,False,88,4.6,0.01569509506225586
14,64,False,149,4.6,0.03323769569396973
16,73,True,32,4.6,0.0
18,82,True,32,4.6,0.018266916275024414
20,92,True,89,4.6,0.02492070198059082
22,101,True,117,4.6,0.024501323699951172
24,110,False,1685,4.6,0.34401488304138184
26,119,False,3322,4.6,0.670682430267334
28,128,False,14895,4.6,3.2099151611328125
30,138,False,34214,4.6,7.332152366638184
32,147,False,24771,4.6,5.830336809158325
34,156,False,47448,4.6,10.965226411819458
36,165,False,77709,4.6,22.238054990768433
38,174,False,222384,4.6,56.48716068267822
10,48,True,43,4.8,0.015632152557373047
12,57,False,77,4.8,0.015674114227294922
14,67,False,188,4.8,0.015570402145385742
16,76,False,271,4.8,0.03819704055786133
18,86,False,419,4.8,0.07075357437133789
20,96,False,1595,4.8,0.2626066207885742
22,105,False,3211,4.8,0.5176897048950195
24,115,False,2755,4.8,0.5813159942626953
26,124,False,5923,4.8,1.2997088432312012
28,134,False,8798,4.8,2.0942907333374023
30,144,False,15686,4.8,4.267816781997681
32,153,False,18371,4.8,4.777397394180298
34,163,False,71897,4.8,19.131672859191895
36,172,False,68791,4.8,20.451170444488525
38,182,False,110721,4.8,32.91681718826294
40,192,True,53210,4.8,17.846229791641235
42,201,False,381118,4.8,123.36449360847473
10,50,True,10,5.0,0.0
12,60,True,44,5.0,0.0
14,70,True,46,5.0,0.017165660858154297
16,80,False,291,5.0,0.0847630500793457
18,90,True,205,5.0,0.025341510772705078
20,100,False,1305,5.0,0.25021839141845703
22,110,False,2158,5.0,0.3711678981781006
24,120,False,2968,5.0,0.604222297668457
26,130,False,5499,5.0,1.3464479446411133
28,140,False,17541,5.0,3.6215155124664307
30,150,True,2014,5.0,0.3921029567718506
32,160,True,983,5.0,0.20135211944580078
34,170,False,35056,5.0,10.700139284133911
36,180,False,97588,5.0,28.782691955566406
38,190,True,28698,5.0,9.299280405044556
40,200,False,246702,5.0,89.31534218788147
10,52,False,94,5.2,0.015642642974853516
12,62,True,40,5.2,0.01569533348083496
14,72,False,123,5.2,0.020868301391601562
16,83,False,193,5.2,0.026566267013549805
18,93,False,510,5.2,0.08344435691833496
20,104,False,783,5.2,0.15327882766723633
22,114,False,1160,5.2,0.2687253952026367
24,124,False,2463,5.2,0.5661876201629639
26,135,True,2675,5.2,0.6379613876342773
28,145,False,13269,5.2,2.79736065864563
30,156,False,17545,5.2,4.663583993911743
32,166,False,45641,5.2,12.115229606628418
34,176,False,45713,5.2,13.23542594909668
36,187,False,56475,5.2,21.07352328300476
38,197,False,103901,5.2,36.74015498161316
40,208,True,144419,5.2,56.33666515350342
10,54,False,27,5.4,0.0036890506744384766
12,64,False,79,5.4,0.0065555572509765625
14,75,False,120,5.4,0.01562666893005371
16,86,True,192,5.4,0.03810238838195801
18,97,False,1014,5.4,0.16704463958740234
20,108,False,720,5.4,0.13686132431030273
22,118,False,1455,5.4,0.36868810653686523
24,129,False,1345,5.4,0.3860764503479004
26,140,False,3452,5.4,1.0663435459136963
28,151,False,7149,5.4,2.2373528480529785
30,162,False,10517,5.4,3.2597646713256836
32,172,False,17966,5.4,6.148251533508301
34,183,True,6306,5.4,1.883331298828125
36,194,False,103533,5.4,34.92178750038147
38,205,False,79450,5.4,28.752650022506714
40,216,False,135622,5.4,54.80177974700928
10,56,False,45,5.6,0.0013785362243652344
12,67,False,86,5.6,0.015626192092895508
14,78,True,16,5.6,0.0
16,89,False,263,5.6,0.05692625045776367
18,100,True,176,5.6,0.03000926971435547
20,112,True,60,5.6,0.014004707336425781
22,123,False,1381,5.6,0.3431243896484375
24,134,False,2633,5.6,0.6800096035003662
26,145,False,4543,5.6,1.3317680358886719
28,156,False,6750,5.6,2.245957612991333
30,168,False,15786,5.6,4.9139487743377686
32,179,False,17950,5.6,6.4704694747924805
34,190,False,44334,5.6,14.064974069595337
36,201,False,48046,5.6,18.596494436264038
38,212,False,110092,5.6,45.837573289871216
40,224,False,121487,5.6,56.09891223907471
10,58,True,15,5.800000000000001,0.0
12,69,False,105,5.800000000000001,0.02292799949645996
14,81,True,16,5.800000000000001,0.0020034313201904297
16,92,False,131,5.800000000000001,0.015010595321655273
18,104,True,258,5.800000000000001,0.05620908737182617
20,116,False,818,5.800000000000001,0.19367718696594238
22,127,False,1416,5.800000000000001,0.40970325469970703
24,139,False,2330,5.800000000000001,0.7029745578765869
26,150,True,5088,5.800000000000001,1.529750108718872
28,162,False,8121,5.800000000000001,2.590977191925049
30,174,False,12220,5.800000000000001,4.349552392959595
32,185,False,21079,5.800000000000001,7.867568254470825
34,197,False,28402,5.800000000000001,10.705567359924316
36,208,False,47763,5.800000000000001,19.290882110595703
38,220,False,49848,5.800000000000001,22.04124116897583
40,232,False,109655,5.800000000000001,52.5650908946991
10,60,True,38,6.0,0.016401052474975586
12,72,True,30,6.0,0.002997159957885742
14,84,True,98,6.0,0.0
16,96,False,179,6.0,0.04981374740600586
18,108,False,455,6.0,0.09954667091369629
20,120,False,633,6.0,0.18441510200500488
22,132,False,747,6.0,0.2501225471496582
24,144,False,1897,6.0,0.5680441856384277
26,156,False,2723,6.0,0.9588632583618164
28,168,False,8135,6.0,2.7999725341796875
30,180,False,10026,6.0,4.267266511917114
32,192,False,15876,6.0,6.801320791244507
34,204,False,25645,6.0,10.104359149932861
36,216,False,20211,6.0,10.052266836166382
38,228,False,28258,6.0,15.15304684638977
40,240,False,62659,6.0,34.64658761024475
42,252,False,278448,6.0,140.11401772499084
10,30,True,9,3.0,0.0030312538146972656
11,33,True,8,3.0,0.004003286361694336
12,36,True,11,3.0,0.0
13,39,True,12,3.0,0.0
14,42,True,13,3.0,0.0016713142395019531
15,45,True,15,3.0,0.016265869140625
16,48,True,16,3.0,0.0076639652252197266
17,51,True,23,3.0,0.00677037239074707
18,54,True,28,3.0,0.0036563873291015625
19,57,True,23,3.0,0.014631271362304688
20,60,True,18,3.0,0.0061833858489990234
21,63,True,21,3.0,0.006368875503540039
22,66,True,22,3.0,0.00954127311706543
23,69,True,22,3.0,0.008043527603149414
24,72,True,26,3.0,0.010999679565429688
25,75,True,20,3.0,0.014323234558105469
26,78,True,87,3.0,0.015889883041381836
27,81,True,24,3.0,0.013878822326660156
28,84,True,29,3.0,0.014193296432495117
29,87,True,26,3.0,0.011649847030639648
30,90,True,27,3.0,0.006756305694580078
31,93,True,27,3.0,0.0
32,96,True,28,3.0,0.014163970947265625
33,99,True,63,3.0,0.022321701049804688
34,102,True,38,3.0,0.017122745513916016
35,105,True,42,3.0,0.014077186584472656
