propositions,clauses,result,DPLL calls,L/N ratio,solve time
123,393,True,5264,3.2,15.13706088066101
126,403,True,5225,3.2,10.000872135162354
129,412,True,175,3.2,0.501945972442627
132,422,True,162,3.2,0.8336865901947021
135,432,True,1270,3.2,3.5167126655578613
130,416,True,329,3.2,0.6040692329406738
133,425,True,407,3.2,1.6002006530761719
136,435,True,2347,3.2,7.032368898391724
139,444,True,2683,3.2,7.323133707046509
142,454,True,8666,3.2,27.663904666900635
145,464,True,1305,3.2,4.783543825149536
148,473,True,159,3.2,0.9158084392547607
143,457,True,148,3.2,0.4339897632598877
146,467,True,205,3.2,1.0951402187347412
149,476,True,232,3.2,0.7500038146972656
144,460,True,7631,3.2,22.759607791900635
139,444,True,784,3.2,2.581813097000122
142,454,True,1258,3.2,4.325681447982788
145,464,True,7765,3.2,23.88439416885376
148,473,True,2766,3.2,10.40101933479309
151,483,True,1800,3.2,4.201529264450073
154,492,True,5503,3.2,12.083863258361816
157,502,True,150,3.2,1.0305795669555664
160,512,True,171,3.2,0.7439501285552979
139,444,True,719,3.2,2.500065803527832
142,454,True,2725,3.2,7.066444158554077
145,464,True,6998,3.2,13.744036674499512
140,448,True,204,3.2,0.5311558246612549
143,457,True,4641,3.2,12.630001783370972
146,467,True,653,3.2,2.2002768516540527
149,476,True,213,3.2,0.5738530158996582
152,486,True,4890,3.2,16.84725522994995
155,496,True,176,3.2,0.9840130805969238
158,505,True,3359,3.2,9.568491697311401
153,489,True,146,3.2,0.4335315227508545
148,473,True,2937,3.2,7.410223722457886
151,483,True,1676,3.2,4.980047941207886
154,492,True,4674,3.2,16.299777269363403
149,476,True,244,3.2,0.6995813846588135
144,460,True,1730,3.2,5.024901628494263
147,470,True,165,3.2,0.5170280933380127
150,480,True,205,3.2,0.6242811679840088
145,464,True,149,3.2,0.43265748023986816
140,448,True,139,3.2,1.1811652183532715
135,432,True,151,3.2,0.43242979049682617
106,360,True,141,3.4,0.6515178680419922
109,370,True,8216,3.4,18.064006805419922
104,353,True,381,3.4,0.8880114555358887
107,363,True,12366,3.4,27.359293699264526
110,374,True,1025,3.4,3.1477301120758057
113,384,True,1488,3.4,4.483983039855957
100,340,True,865,3.4,1.9325687885284424
95,323,True,126,3.4,0.2507588863372803
98,333,True,11572,3.4,23.96068525314331
101,343,True,131,3.4,0.3105049133300781
104,353,True,3940,3.4,6.393618583679199
99,336,True,10053,3.4,27.049497604370117
102,346,True,1952,3.4,5.065536260604858
105,357,True,3027,3.4,8.25011157989502
100,340,True,1675,3.4,3.556365489959717
103,350,True,478,3.4,0.641646146774292
98,333,True,245,3.4,0.3290975093841553
101,343,True,2611,3.4,3.9147491455078125
104,353,True,838,3.4,2.349761962890625
99,336,True,98,3.4,0.24812674522399902
102,346,True,1692,3.4,3.701244592666626
105,357,True,374,3.4,0.6555626392364502
108,367,True,135,3.4,0.3486917018890381
111,377,True,5436,3.4,12.52569055557251
114,387,True,1553,3.4,3.533785343170166
109,370,True,1007,3.4,2.3997488021850586
